ticker,name,year,month,day,text_file_name,future_2,future_3,future_4,future_5,future_6,future_7,future_8,future_9,future_10,future_11,future_12,future_13,future_14,future_15,future_16,future_17,future_18,future_19,future_20,future_21,future_22,future_23,future_24,future_25,future_26,future_27,future_28,future_29,future_30,past_2,past_3,past_4,past_5,past_6,past_7,past_8,past_9,past_10,past_11,past_12,past_13,past_14,past_15,past_16,past_17,past_18,past_19,past_20,past_21,past_22,past_23,past_24,past_25,past_26,past_27,past_28,past_29,past_30,cate,day_earnings
GD,General Dynamics,2017,10,25,General Dynamics_20171025,-4.5369424121185045,-4.58498123700479,-4.540882011425691,-4.650301419581091,-4.542698181867877,-4.6102846676766776,-4.653957126087434,-4.657266621439803,-4.702184301626739,-4.6213684209276575,-4.6365940090853535,-4.667214384435075,-4.7004205957689456,-4.729358287802752,-4.755802718786456,-4.776855655612375,-4.783203475373538,-4.779830041926745,-4.80466829856366,-4.828227722425692,-4.834327587469628,-4.7672916713718445,-4.7884958665179855,-4.7460593488106015,-4.656844600195127,-4.672650979277108,-4.67835752111031,-4.694402422970806,-4.711173701156777,-6.144803547446454,-4.943709087489323,-5.024561645353573,-5.021571841080278,-4.96598245808589,-5.039720636957844,-5.105134054085262,-5.125845568016491,-5.1744870442145405,-5.1955782654298535,-5.206534302531928,-5.228463586939371,-5.050921927153089,-5.077719578045596,-5.062196265798825,-4.96602395462306,-4.9944037959093,-4.959955075981415,-4.969928271651057,-4.994243020231288,-5.007623531353078,-5.025005299227377,-5.031491475502914,-5.044782710980098,-5.060924437129286,-4.952894540990475,-4.970962617727263,-4.987928459178457,-4.9431730049883935,test,2017-10-25
VAR,Varian Medical Systems,2017,10,25,Varian Medical Systems_20171025,-3.670542826311693,-3.7820732918710913,-3.838331877574616,-3.933603646522034,-3.998928630423306,-4.008459856437475,-4.073413096414122,-4.128277477481801,-4.154120094440605,-4.201594400457534,-4.244816046484819,-4.276796840730885,-4.296293419244029,-4.295314720763924,-4.303006707768764,-4.332240117708815,-4.360577556201225,-4.376200424800012,-4.400154133943955,-4.424539461170885,-4.443979868171367,-4.466204667156661,-4.454454880502321,-4.473124646301268,-4.489836193989719,-4.41163226319986,-4.4284342070371965,-4.416733309926616,-4.427755889556416,-5.734226589399428,-5.450721630275008,-5.397929166823365,-5.396162442236665,-5.306952885729249,-5.29023701291402,-5.3455766783838925,-5.286624372884479,-5.332725887676113,-5.305548602143669,-4.757412419868354,-4.784712983646656,-4.820482633908195,-4.7567377211839545,-4.7808956763136505,-4.804494578873538,-4.832756654752177,-4.683905490613697,-4.593601819317578,-4.607360100720541,-4.5935805279220085,-4.6117621286593495,-4.531160799058488,-4.542393255552783,-4.55449929973629,-4.569911050453134,-4.553426284582709,-4.57042391095157,-4.587198565615061,test,2017-10-25
WBA,Walgreens Boots Alliance,2017,10,25,Walgreens Boots Alliance_20171025,-5.6913805896652505,-3.5057873741539334,-3.6200416216867466,-3.6675857154574687,-3.7575131193094,-3.827515843863967,-3.883850845793892,-3.795496554054129,-3.821911484984952,-3.8606929348161536,-3.843077868573132,-3.8723595247254,-3.909262840460232,-3.9392463710000025,-3.95494407399279,-3.984548904136976,-4.007097758743971,-4.033010522356986,-4.058630604738516,-4.061605157976511,-4.070654387509594,-3.9826709666267854,-4.001324817696911,-4.016072955873117,-4.01183235248996,-4.030701221140617,-4.024626982758687,-4.034946017559752,-4.027957300478188,-6.027656730543277,-4.718810122193808,-4.7613961765956985,-4.815533028190714,-4.903328891310469,-4.9631581821700665,-4.6694708637458,-4.717085959290908,-4.7028637668464,-4.690868598272648,-4.460237999344273,-4.152111030540282,-4.1067924678067085,-4.139183084985752,-4.156471308307307,-4.186782694815792,-4.213366320898913,-4.240385927902281,-4.2640864225890525,-4.2778265285001895,-4.276844535914162,-4.2889663189335865,-4.309925581365505,-4.276283359144446,-4.28710635626156,-4.2981516977153085,-4.2992775014783575,-4.316534784482252,-4.329067647547512,test,2017-10-25
HES,Hess Corporation,2017,10,25,Hess Corporation_20171025,-3.2599434865969683,-3.4421807544653027,-3.586004912489205,-3.6881217094065337,-3.77177885348508,-3.819841083825785,-3.6359601553639953,-3.654416709743253,-3.632860212794287,-3.680313424574448,-3.698277623494653,-3.712540402455424,-3.6453955722548494,-3.631080291978797,-3.6611698676569153,-3.68906249841528,-3.6890871841351967,-3.7087170204457367,-3.732049600301522,-3.7398876025900942,-3.7235976727368034,-3.7447929944748872,-3.730390575441779,-3.7355549646177386,-3.737979029035576,-3.7490177006282814,-3.764031861813532,-3.7360380950687193,-3.7525650645648256,-4.218743827577892,-4.346187723875587,-4.412906428173216,-4.4828842429337215,-4.546351695460566,-4.231990176757543,-4.185151175226364,-4.242358559453107,-4.294783820837479,-4.342438799392833,-4.378915490777526,-4.335246453535614,-4.359393505354139,-4.382323031984036,-4.392512628761076,-4.404727574053038,-4.410891749419956,-4.4324438696536514,-4.411335233682252,-4.427431468443372,-4.261167467620608,-4.240311902879089,-4.2604443932949225,-4.254521683592434,-4.272154667273711,-4.287780825724044,-4.305451816467737,-4.3228938706217495,-4.3181294739924905,test,2017-10-25
AVY,Avery Dennison Corp,2017,10,25,Avery Dennison Corp_20171025,-6.181229310882487,-4.7882330248761775,-4.9042521866679,-4.999531626888522,-4.9971959051219175,-4.934281566346861,-4.786014966211344,-4.832933250505277,-4.876323689129904,-4.642276509582644,-4.664746660689215,-4.485681541188591,-4.522573214818472,-4.542704378482247,-4.57289329317726,-4.601920814440891,-4.532081858751929,-4.550902714475208,-4.574574218500858,-4.598015765778952,-4.620795240890313,-4.6414447287452685,-4.658553536742099,-4.618805104915492,-4.585494004947883,-4.591604772113703,-4.585721276262913,-4.550984885162274,-4.564288065399568,-5.807420111841142,-4.998973626286867,-4.6479195800556,-4.714478649181881,-4.805267170112462,-4.8224426805821015,-4.697104271801651,-4.754003199322156,-4.777499457852984,-4.820703294950191,-4.846558185282048,-4.8669364054739725,-4.900135380773209,-4.919345682431723,-4.950467473853097,-4.911218481278794,-4.8196964249376295,-4.832998399439727,-4.832567184052356,-4.853562853941821,-4.876214910622512,-4.898254879985215,-4.9193644737696935,-4.934338487157597,-4.947009206709711,-4.820372718668531,-4.8099508015442405,-4.815958936430913,-4.829385080967394,test,2017-10-25
ALK,Alaska Air Group Inc,2017,10,25,Alaska Air Group Inc_20171025,-3.356438389189416,-3.530369341929116,-3.6703856515349353,-3.775417043545255,-3.78674479702182,-3.8411812368449705,-3.8759078726203886,-3.894159183594498,-3.936747590218749,-3.958112404475427,-3.991461578884428,-4.03035340951903,-4.060843563303641,-3.8546105048833854,-3.8404292531502167,-3.8635806721115182,-3.8919160281940224,-3.9182951677906206,-3.940368436760256,-3.964734385213865,-3.98785509474743,-3.9507531098174953,-3.9306021483171936,-3.951006004142704,-3.916425860803124,-3.9146579394576935,-3.9325247417987375,-3.949390746327256,-3.9433119948187816,-4.596376445386686,-4.585888397046518,-4.336186839729589,-4.445323363531188,-4.529637624824817,-4.5976395879507965,-4.609513171266588,-4.591151746899862,-4.564508187267254,-4.602147210926773,-4.645418412418267,-4.634612132609991,-4.6098238363592605,-4.612691528635112,-4.280896409589659,-4.3015066311655845,-4.328883876736112,-4.34714580509154,-4.372597394074332,-4.396923190557874,-4.419330401048296,-4.371347886010276,-4.389348447434073,-4.403539332556743,-4.394254113243339,-4.298126515127065,-4.233231995038141,-4.2306664115916535,-4.2469282895353535,test,2017-10-25
FLIR,FLIR Systems,2017,10,25,FLIR Systems_20171025,-3.981350049096634,-4.0740124306186765,-4.217816758212152,-4.3042313897909805,-4.390041400945342,-4.457551345238367,-4.524212859710504,-4.578979733325808,-4.603912760300929,-4.5599913096892175,-4.575396669478931,-4.594361146165972,-4.630685673479189,-4.664476741473491,-4.688300780414219,-4.581321933959608,-4.595386246109861,-4.613456997426353,-4.633207189845146,-4.652835795898793,-4.676021680394056,-4.677258613223576,-4.594224803817121,-4.614627166111176,-4.631912531965257,-4.647709620838352,-4.661990818626519,-4.678004296294988,-4.694842303634154,-5.661090360749201,-5.596982135075113,-5.713921998566549,-5.3173002109395,-5.191313182950248,-5.102170191142396,-5.165757047888662,-5.222212051412802,-4.77490395468288,-4.812040167380473,-4.791885675906462,-4.831884257090684,-4.8612720271172485,-4.876893970543329,-4.9033577522529495,-4.292256581644366,-4.307545133103963,-4.323634494558498,-4.347101457973187,-4.344703317103203,-4.366691409375024,-4.367218429982547,-4.376449429667762,-4.392657751848645,-4.3342053404607865,-4.320972920625301,-4.32572065013391,-4.3430305185312825,-4.351820454351427,test,2017-10-25
Amgn,Amgen Inc.,2017,10,25,Amgen Inc._20171025,-7.192929647365309,-6.67594727795092,-5.499219334529911,-5.508389810742552,-5.013856307973637,-4.931129592053956,-4.850651769619812,-4.626943895659666,-4.674723507922007,-4.7114141420345685,-4.725156483342809,-4.762081291486899,-4.785167014678782,-4.8187027326517216,-4.71340365370857,-4.741325890638963,-4.760800461898134,-4.761956523165146,-4.78524050533001,-4.80708991835631,-4.830159988900256,-4.84414211529174,-4.81122312530138,-4.715022989024392,-4.7161277238577615,-4.719792335305284,-4.737880831794488,-4.711862818253224,-4.695854539221989,-5.0836332286483765,-5.283706494187332,-5.327619679103614,-5.200214324510899,-4.40403233078027,-4.470521455771885,-4.531872441389697,-4.573994835440022,-4.606750036298974,-4.644491259266016,-4.687863761250254,-4.723606912591487,-4.741588545509966,-4.730798822685967,-4.760000758502419,-4.775445897834009,-4.783906217048201,-4.802878861561148,-4.825995603662553,-4.848422558289964,-4.864707040990988,-4.882709802945587,-4.888075992891428,-4.862737317674621,-4.882278604845661,-4.895800200824596,-4.888775826214727,-4.906283829198073,-4.915391799206867,test,2017-10-25
NLSN,Nielsen Holdings,2017,10,25,Nielsen Holdings_20171025,-4.010785569164575,-3.985010779031876,-4.106239403139577,-4.14220227010952,-3.9924501498367886,-4.055092031361047,-4.037595656298635,-4.0277976112049085,-4.062950490763761,-4.097787178471308,-4.1276385527493336,-4.1579819627256285,-4.194955579329491,-4.221001575961807,-4.24669681671229,-4.196527039808217,-4.224631540503344,-4.244618157040016,-4.226480139650155,-4.250872935295065,-4.272374214042925,-4.225998631271279,-4.1692345685363605,-4.175720564552287,-4.183956644500027,-4.089138272057242,-4.1048146494645925,-4.121517524669292,-4.137436926064898,-6.483168091472192,-4.733809303316455,-4.789979107735968,-3.927453190769087,-4.015498462325962,-4.077210820424983,-4.124837158295607,-4.18371555437297,-4.187517181003134,-4.22375953666302,-4.1934919357836336,-4.231896218209209,-4.245626959757825,-4.27662199264334,-4.3077408309002685,-4.3380278278969575,-4.362972557571922,-4.382259108605855,-4.406294372884399,-4.430634901088761,-4.448532006105653,-4.458605710696394,-4.479405385363731,-4.495244608197627,-4.513472999467254,-4.519611149505138,-4.520031457296015,-4.531333392153473,-4.523690046744943,test,2017-10-25
MO,Altria Group Inc,2017,10,26,Altria Group Inc_20171026,-9.33054303954841,-4.889248984574407,-4.672889192831924,-4.712188767408354,-4.768322817664483,-4.8396641924325285,-4.641883930054447,-4.671127108083907,-4.723477273682717,-4.718379523595285,-4.67303342544008,-4.711664885874187,-4.7267994271596665,-4.720191865639679,-4.727505053727667,-4.724897023578375,-4.750697942855727,-4.775780733888023,-4.801426416670208,-4.813043320825599,-4.704438089616716,-4.676226537136773,-4.689622262122682,-4.688050839580648,-4.622944888127356,-4.641602121005239,-4.5971016761278936,-4.609832229858975,-4.625843627075938,-8.43364575575322,-6.868869876803847,-4.961901798440543,-5.0328544344207,-5.114434880247623,-5.146630569427784,-5.097860377554204,-5.149809728622743,-5.070922644994225,-5.118294422817068,-4.728375335790262,-4.6562956168461005,-4.539967584681545,-4.567186073781824,-4.598781667564078,-4.615029110791489,-4.620803735443388,-4.60794472179861,-4.63112463127904,-4.655116176203839,-4.643792862136904,-4.573870743167452,-4.552144730622419,-4.570946094063347,-4.535921718723468,-4.548463358132263,-4.566042944155748,-4.58345383396907,-4.5945519003503215,test,2017-10-26
INTC,Intel Corp.,2017,10,26,Intel Corp._20171026,-3.2909591275501047,-3.4785590594318254,-3.617761710448971,-3.6611793834144537,-3.5621240555734044,-3.636205081684185,-3.6775687056265767,-3.708138121247489,-3.7181976691651486,-3.709527696191593,-3.7505414804230544,-3.7873330834538543,-3.8036977691272007,-3.837473881493864,-3.8140627484413465,-3.842473655842812,-3.8707833243616654,-3.8896896924036986,-3.915013297330813,-3.9331462046165817,-3.956284292469209,-3.9518786227473255,-3.95682215298232,-3.974267391996578,-3.990606051017103,-3.971966768147181,-3.989951336466469,-4.001800321113578,-4.0177485987163095,-5.642157924529114,-5.161335359133964,-5.1986829016010825,-5.1252273592182425,-5.056984826351396,-5.114424895058627,-5.177932316264841,-5.1176731716700266,-5.102076429784243,-4.986244183673207,-4.977555262396948,-5.005549512071765,-5.0425296464371865,-5.07172242474197,-5.094703477162193,-5.092939621865313,-4.84050838880071,-4.864331819681119,-4.884154441906583,-4.906338247963185,-4.9220649761286746,-4.93494462703532,-4.947808129728768,-4.968169418413427,-4.962087529788639,-4.978243383771335,-4.991481997117219,-4.967633881034904,-4.984562251922282,test,2017-10-26
SYK,Stryker Corp.,2017,10,26,Stryker Corp._20171026,-2.98841695024314,-3.1478822987476947,-3.2722663762698976,-3.381197922866208,-3.4722418924522818,-3.538867352549847,-3.6048860335415753,-3.6619727805815088,-3.712855332404996,-3.733497303203648,-3.7754988902576585,-3.814959070448688,-3.842848776794295,-3.8729353159425934,-3.897357482899113,-3.924093712924196,-3.951623472307316,-3.973247394317097,-3.9982507721019593,-4.0225986452174896,-4.045539168578143,-4.055888613516687,-4.0693272196285495,-4.08914657960437,-4.069211220005306,-4.087427596588085,-4.1051482802859445,-4.121204010989119,-4.1368762058543735,-6.030773069410973,-5.827687014446992,-5.407154292266807,-5.472291238164823,-5.520550561903862,-5.3433184298067085,-5.405489325500116,-5.452760163796568,-5.497635263862844,-5.352000896221474,-5.184336656462404,-4.808435615335546,-4.836931598996613,-4.763164905832882,-4.714066188546288,-4.742925170264853,-4.749848594192275,-4.744917564928032,-4.758923007889375,-4.777805963788904,-4.797043835253104,-4.795973954058528,-4.816671164489822,-4.754199550897948,-4.7685729148814495,-4.7498150979257225,-4.765932355316387,-4.7752738490985145,-4.774665236551575,test,2017-10-26
rmd,ResMed,2017,10,26,ResMed_20171026,-3.091711988337196,-3.278537263845408,-3.4202850133899005,-3.2979553154003574,-3.3851136132653066,-3.45775580404494,-3.505161999869728,-3.5619357136424474,-3.61459203315352,-3.6620485752186096,-3.7035842620048665,-3.7427964504662135,-3.777884728755404,-3.811751910721788,-3.8378569655216497,-3.867068226868223,-3.8930989407889487,-3.9141154659733854,-3.93704855570391,-3.9559081884724505,-3.978896587652456,-4.0004379835083785,-4.021438224277687,-4.0236491927066025,-4.035812377467645,-4.052058045687724,-4.067419967411902,-4.084134692221622,-4.100281346324088,-7.247133016129982,-4.6968919586824125,-4.802241721422137,-4.913758910751531,-4.936194579983738,-4.914231013778693,-4.980995317082815,-5.039237621380582,-4.935635508219383,-4.9796240121465285,-5.020640453913066,-4.857856979002438,-4.892965597470959,-4.927212097019637,-4.916596760130159,-4.863041328044512,-4.879803864635669,-4.86230635888768,-4.8858447008040935,-4.905676900274597,-4.863571419673163,-4.8824013524095085,-4.903669706304648,-4.6823563142812334,-4.7006189855790925,-4.719424774883164,-4.733521382930417,-4.696714846117237,-4.682390458035479,test,2017-10-26
